Requirement,Category,Completed,Deadline,ECTS,Notes
Presentation in Conference,Research,Yes,"February 1, 2028",12.5,Presentation in international conference
Generic Skills,Coursework,No,"February 1, 2028",2.5,Good scientific practice
Research Workshop 1,Coursework,No,"February 1, 2028",5,Introduction of dissertation project
Research Workshop 2,Coursework,No,"February 1, 2028",2.5,Presentation and discussion of research results
Paper 1,Publications,No,"February 1, 2028",50,
Paper 2,Publications,No,"February 1, 2028",50,
Paper 3,Publications,No,"February 1, 2028",50,
Dissertation submission,Thesis,No,"February 1, 2028",,
Dissertation presentation,Thesis,No,,7.5,Final oral defence
4th paper?,Publications,No,,,
